Mzda,vzdel
24509,3
24738,3
13728,3
26152,3
26470,3
19820,3
22263,3
25573,3
31103,3
16422,3
26048,3
27613,3
25532,3
22737,3
20733,3
22158,3
25324,3
16564,3
15915,3
18214,3
15007,3
13903,3
27622,3
17277,3
19145,3
16309,3
23723,3
23791,3
26763,3
19336,3
27000,3
22032,3
15567,3
26597,3
28226,3
25025,3
19478,3
15364,3
21584,3
15360,3
13252,3
24584,3
20070,3
19620,3
18521,3
27336,3
14283,3
19415,3
23963,3
22722,3
18646,3
21136,3
20549,3
28990,3
21877,3
18469,3
26755,3
15690,3
23837,3
26954,3
16170,3
22874,3
25694,3
26444,3
28273,3
30047,3
22316,3
17603,3
18010,3
24543,3
14337,3
23667,3
16218,3
17252,3
22954,3
18762,3
17688,3
18429,3
27789,3
15244,3
21905,3
19315,3
34743,3
20705,3
29603,3
25302,3
14367,3
23735,3
24548,3
21530,3
12632,3
31520,3
20571,3
15110,3
27033,3
20304,3
22521,3
17911,3
13357,3
20662,3
24795,3
21339,3
21540,3
22415,3
23209,3
20239,3
20051,3
18114,3
15197,3
14928,3
17877,3
18074,3
19656,3
15945,3
17409,3
28158,3
23089,3
22590,3
21305,3
17286,3
18752,3
19746,3
21811,3
21259,3
29544,3
19884,3
18045,3
14039,3
16814,3
33096,3
22780,3
25505,3
22351,3
22217,3
20670,3
23922,3
27915,3
25472,3
20416,3
21893,3
14894,3
26539,3
29578,3
14616,3
21334,3
17455,3
16027,3
26225,3
26666,3
30550,3
23666,3
13213,3
23617,3
18293,3
20520,3
22504,3
21732,3
24989,3
18466,3
18367,3
22243,3
25365,3
19650,3
18405,3
16870,3
18037,3
20140,3
16169,3
24526,3
12161,3
20722,3
14913,3
26888,3
19115,3
26494,3
19527,3
20458,3
16823,3
7545,3
28823,3
15065,3
32959,3
22881,3
18871,3
24561,3
25379,3
20391,3
22029,3
29711,3
15091,3
21195,3
24989,3
15052,3
13361,3
27510,3
18051,3
29880,4
34886,4
32295,4
32273,4
27968,4
30527,4
39305,4
37564,4
31878,4
47145,4
42472,4
31372,4
34578,4
18885,4
39852,4
37864,4
32578,4
34097,4
35499,4
40155,4
30217,4
40399,4
38845,4
31551,4
33633,4
44273,4
34283,4
28118,4
27701,4
34719,4
36263,4
36319,4
33745,4
25190,4
32818,4
39699,4
23467,4
38137,4
27701,4
33972,4
28050,4
39170,4
32103,4
37177,4
31066,4
29151,4
27519,4
29287,4
33293,4
41994,4
37915,4
31875,4
36266,4
30063,4
31991,4
35856,4
48487,4
36214,4
35568,4
23554,4
40946,4
41309,4
26951,4
35054,4
30881,4
35661,4
32562,4
40194,4
36156,4
35495,4
37006,4
25979,4
29194,4
41900,4
36020,4
37103,4
28039,4
45928,4
32369,4
37501,4
33759,4
39684,4
30512,4
39986,4
40082,4
31113,4
26777,4
37072,4
23327,4
38719,4
38843,4
39010,4
33357,4
44186,4
34326,4
30209,4
33121,4
28749,4
28676,4
36089,4
35300,4
30526,4
33974,4
34291,4
33536,4
43913,4
32102,4
38514,4
33367,4
29759,4
30371,4
35852,4
32208,4
35858,4
36770,4
38744,4
29943,4
41884,4
25491,4
25448,4
40746,4
41273,4
29279,4
37550,4
28407,4
43030,4
35377,4
34337,4
33348,4
28831,4
39284,4
35056,4
37526,4
30997,4
32915,4
36250,4
26296,4
30303,4
31923,4
37881,4
30301,4
29594,4
37125,4
31236,4
40101,4
26573,4
33147,4
31023,4
32443,4
38641,4
38577,4
31223,4
25681,4
31214,4
41737,4
34966,4
30657,4
35111,4
39181,4
